time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1662982563515316000,0.69231591796875,0.4213347052524157,-0.0701570410717301,-0.211521373324933,0.08292821859841004,-0.9731693779913442,-0.0572537143610952,0.16147089013834395
1662982563525273000,0.702273193359375,0.4258167068829014,-0.06925207183967298,-0.21338338055991357,0.07482998964257594,-0.9730621116766701,-0.053122118990965354,0.1581017223359213
1662982563535229000,0.71222900390625,0.4322929743833365,-0.06825333551429194,-0.21618136627249282,0.0655390119751242,-0.9727598429850619,-0.0484311779565381,0.15434006701018707
1662982563545185000,0.72218505859375,0.44080988746162636,-0.06693977303373998,-0.21997811230102418,0.05619796049498961,-0.9722233876465202,-0.043708394715885585,0.14995193410777125
1662982563555140900,0.732140869140625,0.4502585321449796,-0.06539054869474564,-0.22426391760465814,0.04759957841654464,-0.9715365979590996,-0.03932447878411181,0.14520648603000108
1662982563565097200,0.74209716796875,0.45998459473833675,-0.06380377028006522,-0.22871985260173738,0.039713502426711476,-0.9707582902324045,-0.03528084354159923,0.14047649985570437
1662982563575054000,0.75205419921875,0.4698289543651623,-0.0623250918487523,-0.23325775425186915,0.03226740384269892,-0.9699052451483294,-0.03146675441352296,0.13599742727942507
1662982563585010200,0.76201025390625,0.4798070911430358,-0.06087566806039905,-0.23789819360861114,0.025784145062530073,-0.9689722239280283,-0.028134093434204855,0.1317405041049291
1662982563594966300,0.77196630859375,0.4897261276677378,-0.05914213572426484,-0.24257131798988577,0.021138812409071426,-0.9679893816411106,-0.0256503911034746,0.12728544311120962
1662982563604922000,0.781922119140625,0.49913102412550975,-0.05733806460284454,-0.24704277616662426,0.018026637693022703,-0.9670114377375183,-0.023898043875703677,0.12301079834939875
1662982563614878200,0.791878173828125,0.5081187119745896,-0.056161099594239115,-0.2513268104055873,0.015584482273006,-0.9660068510452885,-0.022619435118545875,0.12016271937449889
1662982563624834000,0.801833984375,0.5169373528057721,-0.055501903553662996,-0.2555393096216596,0.013748563056098225,-0.9649586383204489,-0.021771669876770018,0.11851838627787427
1662982563634791200,0.811791259765625,0.5257799630035423,-0.05502793673779446,-0.25977157009951374,0.012417860030701455,-0.9638672529086663,-0.021227759858703434,0.11737733031687529
